Tissue,Line,Harvest,Treatment,Mg AVG,Mg SE,P AVG,P SE,S AVG,S SE,Ca AVG,Ca SE,Mn AVG,Mn SE,Fe AVG,Fe SE,Co AVG,Co SE,Ni AVG,Ni SE,Cu AVG,Cu SE,Zn AVG,Zn SE,Cd AVG,Cd SE
1_Root,1_Line 546,1_Vegetative,4_c1z10,1828.090266,360.3682116,4882.521323,641.5622113,3478.551823,214.3147382,3631.527812,1108.824662,63.35151131,11.00987311,2401.955739,677.37033,21.99584308,5.511339617,17.064944,5.216183423,137.6164818,23.11651904,468.7471183,82.48723718,443.7809213,42.27565716
1_Root,2_Line 667,1_Vegetative,4_c1z10,2195.120777,123.8149137,4999.263151,634.1551647,3923.163271,204.7189662,4924.94368,1205.825142,23.15357875,2.440474644,700.5424497,102.1181097,9.692928367,2.826780649,17.50471998,3.088332662,39.12365025,3.273215147,389.5560879,48.29208836,347.7007601,43.82259083
1_Root,3_Line 428,1_Vegetative,4_c1z10,2050.237909,32.8571491,6622.767158,437.0929602,3151.687504,187.3114562,5994.0334,1095.356187,7.498092327,0.728332382,638.8948322,57.89477741,8.466078607,1.96001316,23.99261418,7.452327188,50.86439142,3.760377051,179.3909222,15.21510813,251.1514347,26.23939879
1_Root,1_Line 546,2_Anthesis,4_c1z10,2301.427936,352.5114936,19356.37488,7083.603839,4625.378183,1232.622099,32853.24249,13755.66513,46.37247421,2.978316831,1357.645267,368.6860735,9.589109138,1.666279458,14.58623029,3.019566886,83.21544994,14.0295276,1308.591632,50.48257616,273.4926277,56.0084572
1_Root,2_Line 667,2_Anthesis,4_c1z10,1987.085552,112.1666295,19089.00917,1475.629788,8161.803261,706.0363219,32784.1003,3346.708262,22.08779615,2.664961945,1376.43296,119.1835215,9.914928702,1.493233122,12.43206798,2.782818063,76.03145898,6.92252635,629.6259192,61.4459768,299.1242816,34.95227174
1_Root,3_Line 428,2_Anthesis,4_c1z10,2263.992686,187.3919739,19811.7413,3004.785127,4897.743695,453.0527939,50607.62652,3505.639347,15.9819254,1.944402054,1843.358636,223.7999103,11.33086058,3.436126856,41.67171405,13.15114358,61.27373849,13.42055363,582.5009654,88.97276111,265.7845841,30.37145786
1_Root,1_Line 546,3_2WAA,4_c1z10,3759.066126,1015.041679,35763.60177,9632.575503,3853.381075,625.8152965,67087.61744,19817.40852,43.47499277,10.82206141,3328.748399,1008.072436,6.541317449,3.925757348,30.73078778,8.242711683,128.1056737,23.61571086,962.2063578,130.7275894,284.2569443,40.65224838
1_Root,2_Line 667,3_2WAA,4_c1z10,1975.70031,316.2531146,34961.82924,5066.762222,5382.47348,519.890094,60193.56554,10049.32756,35.41386788,9.940414828,2187.700932,204.9974474,14.68696266,2.659828814,30.65818716,4.470432926,207.6951232,20.63121408,842.8009748,169.3816111,397.8554213,44.14833983
1_Root,3_Line 428,3_2WAA,4_c1z10,2269.326495,363.8259878,21781.39837,6029.500339,4891.222886,785.0386122,39917.08532,12387.49542,18.96318164,1.75079073,1687.462136,167.741063,20.2006977,6.039102864,17.30892179,1.902162726,83.92097336,18.53517416,472.1440105,64.31323317,345.8002802,58.89166407
1_Root,1_Line 546,4_4WAA,4_c1z10,4115.8368,373.1581868,53150.22952,3194.213406,3623.849451,352.2097706,92406.7898,4702.546401,48.2908847,3.485173323,3240.442421,381.3604542,3.091478885,0.659244693,4.289488049,1.178262638,179.2480095,60.90577392,1217.44184,61.78038792,285.2056436,18.79732963
1_Root,2_Line 667,4_4WAA,4_c1z10,2728.318956,349.8635669,50219.78288,7480.993845,5157.031499,601.1968944,20799.16332,5771.28195,50.9092892,7.42757025,2605.630508,300.616017,8.914977421,1.482575958,23.43701226,3.3598,64.16948267,8.106001578,891.3023716,138.5341352,331.261382,39.06615635
1_Root,3_Line 428,4_4WAA,4_c1z10,3154.63264,579.09042,39192.90024,8526.079134,4398.384798,276.0962511,13685.03588,1734.97781,25.369584,3.831423661,2506.179809,272.0220441,8.507094596,0.438202916,32.33767315,2.535341238,55.24197979,7.514990659,759.5701172,104.7772771,322.55333,50.06417858
2_Stem,1_Line 546,1_Vegetative,1_c0z2,1640.811375,335.5383935,3632.731375,534.9182921,1904.527866,332.4863108,350.5530602,120.2825172,73.26734374,25.01435245,55.18270512,13.89270864,30.10583322,4.185693309,13.79998925,0.312319875,8.958495213,1.622739,25.1663017,3.907007521,1.384119085,0.729772815
2_Stem,2_Line 667,1_Vegetative,1_c0z2,2035.635373,76.87497735,3305.707359,121.3937712,2253.437708,129.209039,321.5936,17.60400717,38.09982961,1.366439716,46.21902129,3.051656899,25.40047664,0.722040559,13.01809472,0.201548515,11.87771712,1.132445352,20.17170919,1.552811769,1.183192217,0.053192447
2_Stem,3_Line 428,1_Vegetative,1_c0z2,2230.320777,150.9369774,5180.113313,307.2519832,2765.443577,509.2774541,260.2504764,26.63966496,48.0146522,12.65887127,36.15735726,6.983788905,35.37059532,8.236592036,15.01307498,0.451232625,8.911629907,0.906690362,44.24961767,10.39393151,0.933662429,0.290644701
2_Stem,1_Line 546,2_Anthesis,1_c0z2,1496.025794,112.5585783,3887.918774,441.1969213,2221.287936,274.2963626,173.2950544,32.87107323,54.35764,4.656942494,32.40244555,4.318524993,31.53694729,0.860165162,12.15040286,0.16179468,8.251891479,1.851696214,20.97493633,1.761689785,0.027276724,0.002375455
2_Stem,2_Line 667,2_Anthesis,1_c0z2,1820.448159,309.1725543,3432.944716,685.664046,1291.875174,254.0166839,183.3639826,31.27391877,68.14682833,9.360269493,30.55280518,4.855417266,30.10340457,0.120628274,12.06652939,0.1953899,5.487538467,1.131280107,26.0823966,4.955755554,0.006479194,0.00171401
